ID,Sentence,Label,Prep_sentence,Stemmed_sentence
108,"Overall, the available clinical efficacy data were considered adequate to support the use of cladribine in the treatment of adult patients with highly active RMS as defined by clinical or imaging features.",0,overall available clinical efficacy data considered adequate support use cladribine treatment adult patients highly active rms defined clinical imaging features,overal avail clinic efficaci data consid adequ support use cladribin treatment adult patient highli activ rm defin clinic imag featur
109,Results from the pivotal study CLARITY showed a clinically relevant effect of cladribine in patients with RMS in terms of reduction of relapse rate as well as MRI lesions and delay in disability progression.,0,results pivotal study clarity showed clinically relevant effect cladribine patients rms terms reduction relapse rate well mri lesions delay disability progression,result pivot studi clariti show clinic relev effect cladribin patient rm term reduct relaps rate well mri lesion delay disabl progress
110,Subgroup analyses suggested a larger effect size in patients with high disease activity.,1,subgroup analyses suggested larger effect size patients high disease activity,subgroup analys suggest larger effect size patient high diseas activ
111,"Furthermore, data in SPMS patients with superimposed relapses, although very limited, supported a beneficial effect of cladribine on the relapse rate in this population.",0,furthermore data spms patients superimposed relapses although limited supported beneficial effect cladribine relapse rate population,furthermor data spm patient superimpos relaps although limit support benefici effect cladribin relaps rate popul
112,"Based on these data and since relapses in both SPMS and RRMS patients have the same underlying inflammatory pathophysiology, patients with RMS (instead of RRMS) were considered a more suitable target population.",2,based data since relapses spms rrms patients underlying inflammatory pathophysiology patients rms instead rrms considered suitable target population,base data sinc relaps spm rrm patient underli inflammatori pathophysiolog patient rm instead rrm consid suitabl target popul
113,The data furthermore support the use of a cumulative dose of 3.5 mg/kg to be administered in 2 courses each for 2 years.,0,data furthermore support use cumulative dose mg kg administered courses years,data furthermor support use cumul dose mg kg administ cours year
114,Maintenance of the treatment effect in year 3 and 4 was supported by long-term data from CLARITY EXT.,0,maintenance treatment effect year supported long term data clarity ext,mainten treatment effect year support long term data clariti ext
115,No clinically relevant added benefit of additional treatment cycles beyond year 2 was evident.,1,clinically relevant added benefit additional treatment cycles beyond year evident,clinic relev ad benefit addit treatment cycl beyond year evid
116,"Overall, the CHMP was of the view that the available clinical safety data were adequate for the purpose of assessing the safety of cladribine for the use as treatment of adult patients with highly active RMS.",0,overall chmp view available clinical safety data adequate purpose assessing safety cladribine use treatment adult patients highly active rms,overal chmp view avail clinic safeti data adequ purpos assess safeti cladribin use treatment adult patient highli activ rm
117,"The main safety issues were related to the risks of prolonged severe lymphopenia, infections including reactivation of latent infections and opportunistic infections as well as malignancies.",1,main safety issues related risks prolonged severe lymphopenia infections including reactivation latent infections opportunistic infections well malignancies,main safeti issu relat risk prolong sever lymphopenia infect includ reactiv latent infect opportunist infect well malign
118,"For the latter, uncertainties due to the observed imbalance of cases occurring in patients treated with cladribine compared to placebo as well as the low number of events remained, although supportive analyses did not support a causal association.",1,latter uncertainties due observed imbalance cases occurring patients treated cladribine compared placebo well low number events remained although supportive analyses support causal association,latter uncertainti due observ imbal case occur patient treat cladribin compar placebo well low number event remain although support analys support causal associ
119,"Overall, the risk minimisation measures including the safety information in the product information as well as the prescriber and patient guide were considered adequate to address the risks with cladribine treatment, while further data are gathered in the post-marketing setting",0,overall risk minimisation measures including safety information product information well prescriber patient guide considered adequate address risks cladribine treatment data gathered post marketing setting,overal risk minimis measur includ safeti inform product inform well prescrib patient guid consid adequ address risk cladribin treatment data gather post market set
120,Of particular interest this FDC comprises two pangenotypic components with high potency and high genetic barrier.,1,particular interest fdc comprises two pangenotypic components high potency high genetic barrier,particular interest fdc compris two pangenotyp compon high potenc high genet barrier
121,In the HCV GT1-infected population (the most widely represented in the EU) the observed results -with 99% SVR12 achieved with a convenient 8 weeks treatment duration in non-cirrhotic TN or TE-PRS patients and 97% in cirrhotic patients with a 12 weeks treatment duration- support the fact that this FDC will represent an optimization in the therapeutic armamentarium. ,0,hcv infected population widely represented eu observed results achieved convenient weeks treatment duration non cirrhotic tn te prs patients cirrhotic patients weeks treatment duration support fact fdc represent optimization therapeutic armamentarium,hcv infect popul wide repres eu observ result achiev conveni week treatment durat non cirrhot tn te pr patient cirrhot patient week treatment durat support fact fdc repres optim therapeut armamentarium
122,"As part of the response to CHMP questions throughout the assessment, some clarifications and some additional data from ongoing studies (EXPEDITION-2 notably) were provided by the applicant in support of the efficacy of the product.",1,part response chmp questions throughout assessment clarifications additional data ongoing studies expedition notably provided applicant support efficacy product,part respons chmp question throughout assess clarif addit data ongo studi expedit notabl provid applic support efficaci product
123,"CHMP thus acknowledged that the applicant’s proposal for a treatment recommendation could overall be followed in DAA treatment naïve patients, having in mind the possibility of bridging efficacy from GT1 based on comparable in vitro activity leading to favour a simplified regimen for a programmatic approach to HCV eradication (targeted by 2030 by WHO).",0,chmp thus acknowledged applicants proposal treatment recommendation could overall followed daa treatment naïve patients mind possibility bridging efficacy based comparable vitro activity leading favour simplified regimen programmatic approach hcv eradication targeted,chmp thu acknowledg applic propos treatment recommend could overal follow daa treatment naïv patient mind possibl bridg efficaci base compar vitro activ lead favour simplifi regimen programmat approach hcv erad target
124,"Nevertheless, CHMP noted that since the clinical development has been built mainly to promote the use of this dual therapy in first line treatment rather than in retreatment, the limited sample sized MAGELLAN-1 study (without GT3 patients) in DAA TE leaves many uncertainties for the use of this dual therapy in patients failing DAA.",2,nevertheless chmp noted since clinical development built mainly promote use dual therapy first line treatment rather retreatment limited sample sized magellan study without patients daa te leaves many uncertainties use dual therapy patients failing daa,nevertheless chmp note sinc clinic develop built mainli promot use dual therapi first line treatment rather retreat limit sampl size magellan studi without patient daa te leav mani uncertainti use dual therapi patient fail daa
125,The safety profile of Maviret (glecaprevir/pibrentasvir) is favourable with no major concern identified.,0,safety profile maviret glecaprevir pibrentasvir favourable major concern identified,safeti profil maviret glecaprevir pibrentasvir favour major concern identifi
126,"While the risk of ALT elevations seems lower as compared to previously authorized NS3/4A, it remains that some situations (namely in case of combination with EE-based regimens) have been identified at increased hepatic risk.",1,risk alt elevations seems lower compared previously authorized remains situations namely case combination ee based regimens identified increased hepatic risk,risk alt elev seem lower compar previous author remain situat name case combin ee base regimen identifi increas hepat risk
127,This has been appropriately covered in the Maviret SmPC by the addition of a contra-indication with EE-containing medicines.,0,appropriately covered maviret smpc addition contra indication ee containing medicines,appropri cover maviret smpc addit contra indic ee contain medicin
128,"To support the application, the applicant has submitted one bioequivalence study.",1,support application applicant submitted one bioequivalence study,support applic applic submit one bioequival studi
129,"It was a randomized, blind, 1-way parallel bioequivalence study of nitisinone 10 mg capsule and Orfadin (reference) following a 10 mg dose in healthy subjects under fasting conditions.",1,randomized blind way parallel bioequivalence study nitisinone mg capsule orfadin reference following mg dose healthy subjects fasting conditions,random blind way parallel bioequival studi nitisinon mg capsul orfadin refer follow mg dose healthi subject fast condit
130,The concerns raised during the procedure regarding the BE have been satisfactorily answered and the product is approvable from the clinical point of view.,0,concerns raised procedure regarding satisfactorily answered product approvable clinical point view,concern rais procedur regard satisfactorili answer product approv clinic point view
131,No additional clinical studies were provided within current application.,1,additional clinical studies provided within current application,addit clinic studi provid within current applic
132,A clinical overview has been provided and was based on up-to-date and adequate scientific literature.,1,clinical overview provided based date adequate scientific literature,clinic overview provid base date adequ scientif literatur
133,The CHMP considered this application acceptable from clinical point of view.,0,chmp considered application acceptable clinical point view,chmp consid applic accept clinic point view
134,A summary of the literature with regard to clinical data of Pemetrexed Hospira UK Limited and justifications that the different salt of the active substance does not differ significantly in properties with regards to safety and efficacy of the reference product was provided and was accepted by the CHMP. ,0,summary literature regard clinical data pemetrexed hospira uk limited justifications different salt active substance differ significantly properties regards safety efficacy reference product provided accepted chmp,summari literatur regard clinic data pemetrex hospira uk limit justif differ salt activ substanc differ significantli properti regard safeti efficaci refer product provid accept chmp
135,This is in accordance with the relevant guideline and additional clinical studies were not considered necessary.,0,accordance relevant guideline additional clinical studies considered necessary,accord relev guidelin addit clinic studi consid necessari
136,A single dose bioequivalence study was considered sufficient since the application concerns an immediate release formulation.,0,single dose bioequivalence study considered sufficient since application concerns immediate release formulation,singl dose bioequival studi consid suffici sinc applic concern immedi releas formul
137,Biosimilarity of CT-P10 and MabThera is considered demonstrated based on the efficacy data.,0,biosimilarity ct mabthera considered demonstrated based efficacy data,biosimilar ct mabthera consid demonstr base efficaci data
138,"In the pivotal RA trial, efficacy results in terms of DAS28 and ACR were shown to be comparable between CT-P10 and MabThera.",0,pivotal ra trial efficacy results terms acr shown comparable ct mabthera,pivot ra trial efficaci result term acr shown compar ct mabthera
139,"In addition, PK data discussed support the extrapolation to the autoimmune indications MPA/GPA.",0,addition pk data discussed support extrapolation autoimmune indications mpa gpa,addit pk data discuss support extrapol autoimmun indic mpa gpa
140,"The objectives of study CT-P10 3.3 were to demonstrate similarity in pharmacokinetics and non-inferiority in efficacy of CT-P10 to Rituxan as primary endpoints when coadministered with CVP in patients with advanced FL; these objectives have been met and furthermore, extrapolation in the context of NHL and CLL indications is acceptable.",0,objectives study ct demonstrate similarity pharmacokinetics non inferiority efficacy ct rituxan primary endpoints coadministered cvp patients advanced fl objectives met furthermore extrapolation context nhl cll indications acceptable,object studi ct demonstr similar pharmacokinet non inferior efficaci ct rituxan primari endpoint coadminist cvp patient advanc fl object met furthermor extrapol context nhl cll indic accept
141,The overall safety profile of CT-P10 appeared roughly similar to that of the reference product although the pooled incidences of AEs and SAEs were generally lower for the reference products.,1,overall safety profile ct appeared roughly similar reference product although pooled incidences aes saes generally lower reference products,overal safeti profil ct appear roughli similar refer product although pool incid ae sae gener lower refer product
142,"Therefore, the available safety data are considered supportive of biosimilarity between CT-P10 and MabThera.",0,therefore available safety data considered supportive biosimilarity ct mabthera,therefor avail safeti data consid support biosimilar ct mabthera
143,"Most common reported events were infections, infusion related reactions.",1,common reported events infections infusion related reactions,common report event infect infus relat reaction
144,The frequencies and nature of the adverse events were in line with those reported for the innovator MabThera/Rituxan in the RA and NLH study populations.,0,frequencies nature adverse events line reported innovator mabthera rituxan ra nlh study populations,frequenc natur advers event line report innov mabthera rituxan ra nlh studi popul
145,"Although dataset of AFL patients has been updated, data are still considered very limited to reach firm conclusion about safety proflie.",2,although dataset afl patients updated data still considered limited reach firm conclusion safety proflie,although dataset afl patient updat data still consid limit reach firm conclus safeti profli
146,Additional safety data from Maintenance Study Period CT-P10 3.3.and Follow-up Period should be provided (see RMP).,2,additional safety data maintenance study period ct follow period provided see rmp,addit safeti data mainten studi period ct follow period provid see rmp
147,The planned extension studies CT-P10 3.2 (RA) CT-P10 3.3 (AFL) and CT-P10 3.4 (LTBFL) listed in the RMP will provide additional long term safety data.,1,planned extension studies ct ra ct afl ct ltbfl listed rmp provide additional long term safety data,plan extens studi ct ra ct afl ct ltbfl list rmp provid addit long term safeti data
148,Biosimilarity of CT-P10 and MabThera is considered demonstrated based on the efficacy data.,0,biosimilarity ct mabthera considered demonstrated based efficacy data,biosimilar ct mabthera consid demonstr base efficaci data
149,"In the pivotal RA trial, efficacy results in terms of DAS28 and ACR were shown to be comparable between CT-P10 and MabThera.",0,pivotal ra trial efficacy results terms acr shown comparable ct mabthera,pivot ra trial efficaci result term acr shown compar ct mabthera
150,"In addition, PK data discussed support the extrapolation to the autoimmune indications MPA/GPA.",0,addition pk data discussed support extrapolation autoimmune indications mpa gpa,addit pk data discuss support extrapol autoimmun indic mpa gpa
151,"The objectives of study CT-P10 3.3 were to demonstrate similarity in pharmacokinetics and non-inferiority in efficacy of CT-P10 to Rituxan as primary endpoints when coadministered with CVP in patients with advanced FL; these objectives have been met and furthermore, extrapolation in the context of NHL and CLL indications is acceptable.",0,objectives study ct demonstrate similarity pharmacokinetics non inferiority efficacy ct rituxan primary endpoints coadministered cvp patients advanced fl objectives met furthermore extrapolation context nhl cll indications acceptable,object studi ct demonstr similar pharmacokinet non inferior efficaci ct rituxan primari endpoint coadminist cvp patient advanc fl object met furthermor extrapol context nhl cll indic accept
152,The overall safety profile of CT-P10 appeared roughly similar to that of the reference product although the pooled incidences of AEs and SAEs were generally lower for the reference products.,1,overall safety profile ct appeared roughly similar reference product although pooled incidences aes saes generally lower reference products,overal safeti profil ct appear roughli similar refer product although pool incid ae sae gener lower refer product
153,"Therefore, the available safety data are considered supportive of biosimilarity between CT-P10 and MabThera.",0,therefore available safety data considered supportive biosimilarity ct mabthera,therefor avail safeti data consid support biosimilar ct mabthera
154,"Most common reported events were infections, infusion related reactions.",1,common reported events infections infusion related reactions,common report event infect infus relat reaction
155,The frequencies and nature of the adverse events were in line with those reported for the innovator MabThera/Rituxan in the RA and NLH study populations.,0,frequencies nature adverse events line reported innovator mabthera rituxan ra nlh study populations,frequenc natur advers event line report innov mabthera rituxan ra nlh studi popul
156,"Although dataset of AFL patients has been updated, data are still considered very limited to reach firm conclusion about safety proflie.",2,although dataset afl patients updated data still considered limited reach firm conclusion safety proflie,although dataset afl patient updat data still consid limit reach firm conclus safeti profli
157,Additional safety data from Maintenance Study Period CT-P10 3.3. and Follow-up Period should be provided (see RMP).,2,additional safety data maintenance study period ct follow period provided see rmp,addit safeti data mainten studi period ct follow period provid see rmp
158,The planned extension studies CT-P10 3.2 (RA) CT-P10 3.3 (AFL) and CT-P10 3.4 (LTBFL) listed in the RMP will provide additional long term safety data.,1,planned extension studies ct ra ct afl ct ltbfl listed rmp provide additional long term safety data,plan extens studi ct ra ct afl ct ltbfl list rmp provid addit long term safeti data
159,The results presented on efficacy support the biosimilarity claim between the test product SB5 and the reference product EU Humira.,0,results presented efficacy support biosimilarity claim test product reference product eu humira,result present efficaci support biosimilar claim test product refer product eu humira
160,The number of subjects is sufficient for comparing the safety profile of the biosimilar candidate SB5 and reference medicinal product EU-Humira and studying the safety of a biosimilar product for up to one year.,0,number subjects sufficient comparing safety profile biosimilar candidate reference medicinal product eu humira studying safety biosimilar product one year,number subject suffici compar safeti profil biosimilar candid refer medicin product eu humira studi safeti biosimilar product one year
161,"Broadly, the number, severity and type of TEAEs, SAEs, AEs of special interest, treatment discontinuations due to AEs, laboratory findings were comparable between SB5 and Humira and mirroring the safety profile as described in the SmPC of Humira.",0,broadly number severity type teaes saes aes special interest treatment discontinuations due aes laboratory findings comparable humira mirroring safety profile described smpc humira,broadli number sever type teae sae ae special interest treatment discontinu due ae laboratori find compar humira mirror safeti profil describ smpc humira
162,"The frequency of related AEs, severity of AEs and AESIs remained similar for the group who transitioned from Humira to SB5 at week 24.",0,frequency related aes severity aes aesis remained similar group transitioned humira week,frequenc relat ae sever ae aesi remain similar group transit humira week
163,"More detailed data on injection site reactions, hypersensitivity and anaphylactic reactions were requested in order to allow a thorough assessment of this issue both in subjects with and without ADAs.",2,detailed data injection site reactions hypersensitivity anaphylactic reactions requested order allow thorough assessment issue subjects without adas,detail data inject site reaction hypersensit anaphylact reaction request order allow thorough assess issu subject without ada
164,The submitted additional analyses further support the comparability of the safety profile of SB5 and Humira.,0,submitted additional analyses support comparability safety profile humira,submit addit analys support compar safeti profil humira
165,"With regard to immunogenicity, the incidence and titre distribution of ADAs were compared and seemed similar for SB5 and Humira, with about half of all subjects developing neutralising antibodies in each treatment group.",0,regard immunogenicity incidence titre distribution adas compared seemed similar humira half subjects developing neutralising antibodies treatment group,regard immunogen incid titr distribut ada compar seem similar humira half subject develop neutralis antibodi treatment group
166,No worsening of the immunogenicity profile was observed after transitioning from Humira to SB5.,0,worsening immunogenicity profile observed transitioning humira,worsen immunogen profil observ transit humira
167,"Since Rolufta application is an informed consent of Incruse application, the clinical data in support of the Rolufta application are identical to the up-to-date clinical data of Incruse dossier, which have been assessed and authorised (including all post-marketing procedures).",0,since rolufta application informed consent incruse application clinical data support rolufta application identical date clinical data incruse dossier assessed authorised including post marketing procedures,sinc rolufta applic inform consent incrus applic clinic data support rolufta applic ident date clinic data incrus dossier assess authoris includ post market procedur
168,"Overall, ABP 501 has in the RA study shown similarity to adalimumab in several analyses.",0,overall abp ra study shown similarity adalimumab several analyses,overal abp ra studi shown similar adalimumab sever analys
169,"The primary endpoint was met, and similarity at week 24 was indicated with low point estimates and narrow CI intervals both for ACR20 RR and Risk Difference.",0,primary endpoint met similarity week indicated low point estimates narrow ci intervals rr risk difference,primari endpoint met similar week indic low point estim narrow ci interv rr risk differ
170,Also mean change in DAS28-CRP showed high similarity at all visits.,0,also mean change crp showed high similarity visits,also mean chang crp show high similar visit
171,"ACR20 results per visit showed significant differences which may be interpreted as indicating a faster onset of effect for ABP 501, which could question similarity.",2,results per visit showed significant differences may interpreted indicating faster onset effect abp could question similarity,result per visit show signific differ may interpret indic faster onset effect abp could question similar
172,"However, these results are not seen for DAS28 which is favourable, or for ACR50 or ACR70, and as such it is concluded, that the difference seen at week 2 in ACR20 is likely to be a chance finding rather than a true difference.",0,however results seen favourable concluded difference seen week likely chance finding rather true difference,howev result seen favour conclud differ seen week like chanc find rather true differ
173,"Also the psoriasis study met the primary endpoint with a point estimate of difference of 2% with narrow CIs, indicating similarity.",0,also psoriasis study met primary endpoint point estimate difference narrow cis indicating similarity,also psoriasi studi met primari endpoint point estim differ narrow ci indic similar
174,The secondary endpoints PASI 75 and sPGA showed point estimates of 7% difference with a wide CI.,1,secondary endpoints pasi spga showed point estimates difference wide ci,secondari endpoint pasi spga show point estim differ wide ci
175,"Overall, clinical similarity between ABP 501 and adalimumab has been demonstrated.",0,overall clinical similarity abp adalimumab demonstrated,overal clinic similar abp adalimumab demonstr
176,The safety profile of ABP 501 and Humira is considered comparable.,0,safety profile abp humira considered comparable,safeti profil abp humira consid compar
177,"The majority of treated infants with infantile-onset SMA achieved improvement, with a great proportion reaching a clinically meaningful and continued improvements in motor milestones (e.g. independent sitting, standing and walking), muscle strength, and motor function that exceed those of the sham control-treated infants in Study CS3B and the natural history of the disease, where a progressive loss of motor function is observed",0,majority treated infants infantile onset sma achieved improvement great proportion reaching clinically meaningful continued improvements motor milestones eg independent sitting standing walking muscle strength motor function exceed sham control treated infants study natural history disease progressive loss motor function observed,major treat infant infantil onset sma achiev improv great proport reach clinic meaning continu improv motor mileston eg independ sit stand walk muscl strength motor function exceed sham control treat infant studi natur histori diseas progress loss motor function observ
178,Data from treated pre-symptomatic infants with genetically confirmed SMA show that they are achieving motor milestones and developing muscle strength and motor function with the nusinersen treatment that are more consistent with those of normal infants than symptomatic infants with SMA,0,data treated pre symptomatic infants genetically confirmed sma show achieving motor milestones developing muscle strength motor function nusinersen treatment consistent normal infants symptomatic infants sma,data treat pre symptomat infant genet confirm sma show achiev motor mileston develop muscl strength motor function nusinersen treatment consist normal infant symptomat infant sma
179,Subjects with later-onset SMA who received nusinersen achieved and maintained motor function across multiple measures and milestones such as the ability to walk that are completely inconsistent with natural history,0,subjects later onset sma received nusinersen achieved maintained motor function across multiple measures milestones ability walk completely inconsistent natural history,subject later onset sma receiv nusinersen achiev maintain motor function across multipl measur mileston abil walk complet inconsist natur histori
180,"The difference in magnitude across endpoints is in alignment with the understanding of the pathology of SMA, where deficiency in SMN protein leads to disease progression from events more proximal to the action of SMN such as declines in motor neuron health as measured by CMAP and CHOP INTEND, through those that are more distal, as measured by motor milestones and event-free survival",1,difference magnitude across endpoints alignment understanding pathology sma deficiency smn protein leads disease progression events proximal action smn declines motor neuron health measured cmap chop intend distal measured motor milestones event free survival,differ magnitud across endpoint align understand patholog sma defici smn protein lead diseas progress event proxim action smn declin motor neuron health measur cmap chop intend distal measur motor mileston event free surviv
181,Data from the ongoing studies in infantile-onset SMA support that treatment with nusinersen has the potential to prolong overall and event-free survival,0,data ongoing studies infantile onset sma support treatment nusinersen potential prolong overall event free survival,data ongo studi infantil onset sma support treatment nusinersen potenti prolong overal event free surviv
182,"They also support the need for early treatment with nusinersen, since shortly after the loading phase was complete, the rate of ventilation among nusinersen-treated subjects separated from that of the controls",0,also support need early treatment nusinersen since shortly loading phase complete rate ventilation among nusinersen treated subjects separated controls,also support need earli treatment nusinersen sinc shortli load phase complet rate ventil among nusinersen treat subject separ control
183,"Taken together, these data demonstrate consistently that nusinersen has produced meaningful benefits across a broad range of SMA phenotypes",0,taken together data demonstrate consistently nusinersen produced meaningful benefits across broad range sma phenotypes,taken togeth data demonstr consist nusinersen produc meaning benefit across broad rang sma phenotyp
184,"The consistency among the various key clinically meaningful endpoints, each of which provide independent measures central to the pathology of SMA, support significant efficacy in both pre-symptomatic and symptomatic subjects and across infantile-onset and later-onset SMA",0,consistency among various key clinically meaningful endpoints provide independent measures central pathology sma support significant efficacy pre symptomatic symptomatic subjects across infantile onset later onset sma,consist among variou key clinic meaning endpoint provid independ measur central patholog sma support signific efficaci pre symptomat symptomat subject across infantil onset later onset sma
185,"The current studies do not provide evidence that the treatment effects persist with indefinite length of treatment, neither in infantile nor in later onset SMA",2,current studies provide evidence treatment effects persist indefinite length treatment neither infantile later onset sma,current studi provid evid treatment effect persist indefinit length treatment neither infantil later onset sma
186,The CHMP considers the following measures as key to the B/R ratio of the product and necessary to address issues related to efficacy:,2,chmp considers following measures key b r ratio product necessary address issues related efficacy,chmp consid follow measur key b r ratio product necessari address issu relat efficaci
187,"PAES: In order to evaluate the long term efficacy and safety of Nusinersen in symptomatic patients with spinal muscular atrophy, Phase 3, open-label extension study (SHINE, CS11)",2,paes order evaluate long term efficacy safety nusinersen symptomatic patients spinal muscular atrophy phase open label extension study shine,pae order evalu long term efficaci safeti nusinersen symptomat patient spinal muscular atrophi phase open label extens studi shine
188,the MAH should conduct and submit the results of the ,2,mah conduct submit results,mah conduct submit result
189,"• PAES: In order to evaluate the long term efficacy and safety of Nusinersen in pre-symptomatic patients with spinal muscular atrophy, the MAH should conduct and submit the results of the Phase 2, open-label study (NURTURE (SM201))",2,paes order evaluate long term efficacy safety nusinersen pre symptomatic patients spinal muscular atrophy mah conduct submit results phase open label study nurture,pae order evalu long term efficaci safeti nusinersen pre symptomat patient spinal muscular atrophi mah conduct submit result phase open label studi nurtur
190,"Along with the needed data on efficacy and safety to be derived from the above studies, their protocols include PK data collections",1,along needed data efficacy safety derived studies protocols include pk data collections,along need data efficaci safeti deriv studi protocol includ pk data collect
191,"These are being used to collect the required PK data in order to enable the company to make future decisions about whether any dose adjustment, or further investigation in to dose adjustment, is required",1,used collect required pk data order enable company make future decisions whether dose adjustment investigation dose adjustment required,use collect requir pk data order enabl compani make futur decis whether dose adjust investig dose adjust requir
192,CSF data are being collected from both these studies and will be used in the comprehensive update to the Pop PK model,1,csf data collected studies used comprehensive update pop pk model,csf data collect studi use comprehens updat pop pk model
193,"Additionally, the following measures will contribute to the better understanding of the efficacy, safety and clinical applicability of the product: ",1,additionally following measures contribute better understanding efficacy safety clinical applicability product,addit follow measur contribut better understand efficaci safeti clinic applic product
194,"• EMBRACE (SM202) - Phase 2, randomized, double-blind, sham- procedure controlled study to assess the safety, tolerability, PK, and efficacy in patients who were not eligible to participate in studies CS3b or CS4 ",1,embrace phase randomized double blind sham procedure controlled study assess safety tolerability pk efficacy patients eligible participate studies,embrac phase random doubl blind sham procedur control studi assess safeti toler pk efficaci patient elig particip studi
195,• Registries initiative - Collaborations with existing disease registries across the globe to capitalize on the available clinical experts and networks and modifying to be able to collect appropriate information and take in to account availability of medicinal product(s),1,registries initiative collaborations existing disease registries across globe capitalize available clinical experts networks modifying able collect appropriate information take account availability medicinal products,registri initi collabor exist diseas registri across globe capit avail clinic expert network modifi abl collect appropri inform take account avail medicin product
196,• Exploring higher doses - The company is requested to explore whether higher doses of nusinersen could show greater efficacy,1,exploring higher doses company requested explore whether higher doses nusinersen could show greater efficacy,explor higher dose compani request explor whether higher dose nusinersen could show greater efficaci
197,"The safety profile of nusinersen was characterized in subjects with infantile-onset SMA in a randomized controlled study and an open-label study; pre-symptomatic infants with SMA in an open-label study, and children with later-onset SMA in a randomized study and open-label studies",1,safety profile nusinersen characterized subjects infantile onset sma randomized controlled study open label study pre symptomatic infants sma open label study children later onset sma randomized study open label studies,safeti profil nusinersen character subject infantil onset sma random control studi open label studi pre symptomat infant sma open label studi children later onset sma random studi open label studi
198,Review of the available data demonstrated no safety concerns due to nusinersen exposure,0,review available data demonstrated safety concerns due nusinersen exposure,review avail data demonstr safeti concern due nusinersen exposur
199,The majority of AEs and SAEs reported in subjects exposed to nusinersen were consistent with the nature and frequency of events typically occurring in the context of SMA,0,majority aes saes reported subjects exposed nusinersen consistent nature frequency events typically occurring context sma,major ae sae report subject expos nusinersen consist natur frequenc event typic occur context sma
200,"Pre-symptomatic infants treated with nusinersen experienced fewer adverse events compared with symptomatic infants which is most likely due to their healthier baseline condition, which they maintained throughout participation in the study",1,pre symptomatic infants treated nusinersen experienced fewer adverse events compared symptomatic infants likely due healthier baseline condition maintained throughout participation study,pre symptomat infant treat nusinersen experienc fewer advers event compar symptomat infant like due healthier baselin condit maintain throughout particip studi
201,"In addition, the fatality rate in nusinersen-treated subjects with infantile-onset SMA was about half that of sham-controlled subjects",0,addition fatality rate nusinersen treated subjects infantile onset sma half sham controlled subjects,addit fatal rate nusinersen treat subject infantil onset sma half sham control subject
202,"nusinersen has demonstrated a favourable safety and efficacy pattern in the treatment of infantile-onset SMA from a randomized controlled clinical study, Study CS3B",0,nusinersen demonstrated favourable safety efficacy pattern treatment infantile onset sma randomized controlled clinical study study,nusinersen demonstr favour safeti efficaci pattern treatment infantil onset sma random control clinic studi studi
203,"This was supported by favourable safety and efficacy data from the interim analysis of a randomized controlled clinical study, CS4 in later-onset subjects, open-label studies in pre-symptomatic subjects, and subjects with infantile-onset and later-onset SMA, where the attainment of motor milestones in subjects receiving treatment differed from that seen in the natural history of SMA",0,supported favourable safety efficacy data interim analysis randomized controlled clinical study later onset subjects open label studies pre symptomatic subjects subjects infantile onset later onset sma attainment motor milestones subjects receiving treatment differed seen natural history sma,support favour safeti efficaci data interim analysi random control clinic studi later onset subject open label studi pre symptomat subject subject infantil onset later onset sma attain motor mileston subject receiv treatment differ seen natur histori sma
204,"Based on the totality of the data, it can be agreed that nusinersen has a positive benefit/risk profile for treating SMA",0,based totality data agreed nusinersen positive benefit risk profile treating sma,base total data agre nusinersen posit benefit risk profil treat sma
205,Long-term safety data will be obtained from the planned and ongoing studies.,1,long term safety data obtained planned ongoing studies,long term safeti data obtain plan ongo studi
206,The FRC has been investigated in a clinical programme of adequate design.,0,frc investigated clinical programme adequate design,frc investig clinic programm adequ design
207,The FRC is provided in two different pens with two different ratios between insulin glargine and lixisenatide which may increase the risk for medication errors.,2,frc provided two different pens two different ratios insulin glargine lixisenatide may increase risk medication errors,frc provid two differ pen two differ ratio insulin glargin lixisenatid may increas risk medic error
208,Study EFC12404 provides relevant information on the contribution of the mono-components to the effect of the FRC.,0,study provides relevant information contribution mono components effect frc,studi provid relev inform contribut mono compon effect frc
209,Insulin glargine primarily reduces HbA1c by decreasing the fasting plasma glucose whereas lixisenatide primarily reduces the post-prandial glucose excursion.,1,insulin glargine primarily reduces decreasing fasting plasma glucose whereas lixisenatide primarily reduces post prandial glucose excursion,insulin glargin primarili reduc decreas fast plasma glucos wherea lixisenatid primarili reduc post prandial glucos excurs
210,"The major contribution in HbA1c is due to insulin glargine as the treatment difference between the FRC and insulin glargine ranged from 0.3 % to 0.5 %, whereas the treatment difference between the FRC and lixisenatide was 0.8 %.",1,major contribution due insulin glargine treatment difference frc insulin glargine ranged whereas treatment difference frc lixisenatide,major contribut due insulin glargin treatment differ frc insulin glargin rang wherea treatment differ frc lixisenatid
211,"With the FRC, the decrease in HbA1c was achieved without increase in body weight, and without an increase in the reporting of hypoglycaemia compared to patients on monotherapy with insulin glargine.",0,frc decrease achieved without increase body weight without increase reporting hypoglycaemia compared patients monotherapy insulin glargine,frc decreas achiev without increas bodi weight without increas report hypoglycaemia compar patient monotherapi insulin glargin
